OTU	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	realm	phylum	class	order	family	genus	species
ZOTU651	1	1	2	1	5	3	0	0	1	0	0	0	9	8	9	0	3	2	0	0	0	0	0	0	0	0	0	18	25	2	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcaceae_UCG-010	 uncultured_bacterium
ZOTU109	5	1	1	1	2	2	11	3	14	0	2	5	5	0	8	0	1	0	0	0	1	1	3	0	1	0	3	3	4	3	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcaceae_UCG-002	 uncultured_bacterium
ZOTU195	14	23	29	10	76	59	5	22	11	22	56	53	113	58	116	70	114	124	49	61	52	76	98	61	79	83	121	384	441	2108	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Dorea	 
ZOTU1515	4	25	1	1	90	44	0	4	2	0	1	0	70	45	52	0	3	0	0	0	0	6	2	1	0	0	0	0	0	0	Bacteria	 Actinobacteria	 	 	 	 	 
ZOTU1513	46	5	14	12	3	3	33	23	25	13	20	17	4	8	4	12	18	35	0	0	3	0	0	0	17	1	0	2	1	7	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 	 	 
ZOTU1016	39	49	21	4	26	10	20	8	23	16	10	17	40	23	26	8	5	15	0	0	0	0	0	1	0	0	0	11	8	8	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
ZOTU1353	6	10	5	1	15	8	4	5	4	1	4	1	23	10	22	0	5	1	0	0	0	1	1	3	0	2	2	16	18	11	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 uncultured	 
ZOTU1330	27	94	2	9	62	40	13	3	3	14	23	11	108	62	101	17	17	31	1	0	1	2	3	1	0	1	0	247	243	44	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Subdoligranulum	 uncultured_bacterium
ZOTU1325	35	4	0	0	5	3	119	0	5	0	0	2	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	4	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU942	7	3	4	4	8	6	4	2	4	2	7	4	10	9	1	3	2	0	13	3	17	6	6	10	103	8	8	0	0	0	Bacteria	 	 	 	 	 	 
ZOTU1369	5	16	6	12	4	5	0	1	0	10	26	15	29	24	12	29	21	65	0	0	0	0	0	0	0	1	1	76	118	123	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU1346	28	71	8	2	42	26	16	4	7	12	25	13	101	50	82	18	27	45	0	0	0	3	0	0	0	0	1	97	124	64	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcus_2	 uncultured_bacterium
ZOTU1076	6	26	6	7	35	24	9	13	24	15	8	10	88	33	88	14	12	16	3	0	1	7	2	0	4	3	0	225	248	51	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcaceae_NK4A214_group	 
